City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Manaus,BR,2022-08-09 01:46:32,-3.1019,-60.025,84.7,78,0,4.61,clear sky
60,Los Llanos De Aridane,ES,2022-08-09 01:46:33,28.6585,-17.9182,67.75,78,100,13.8,overcast clouds
61,Jamestown,US,2022-08-09 01:44:20,42.097,-79.2353,75.02,73,100,11.5,light rain
62,Coihaique,CL,2022-08-09 01:44:58,-45.5752,-72.0662,39.81,70,100,2.3,overcast clouds
63,Upernavik,GL,2022-08-09 01:46:37,72.7868,-56.1549,42.55,81,100,1.66,overcast clouds
64,Ndjole,GA,2022-08-09 01:46:38,-0.1783,10.7649,73.49,85,99,4.47,overcast clouds
65,Tupik,RU,2022-08-09 01:46:38,54.4253,119.9327,52.38,74,100,14.03,overcast clouds
66,Moranbah,AU,2022-08-09 01:46:38,-22.0016,148.0466,65.84,34,0,15.5,clear sky
67,Ushuaia,AR,2022-08-09 01:46:39,-54.8,-68.3,38.86,52,75,5.75,broken clouds
68,Khatanga,RU,2022-08-09 01:46:39,71.9667,102.5,65.55,64,55,20.24,broken clouds
69,Kidal,ML,2022-08-09 01:46:39,18.4411,1.4078,86.76,48,10,14.99,clear sky
70,Hermanus,ZA,2022-08-09 01:43:58,-34.4187,19.2345,54.81,81,3,4.56,clear sky
71,Praia Da Vitoria,PT,2022-08-09 01:46:40,38.7333,-27.0667,73.65,78,20,6.06,few clouds
72,Butaritari,KI,2022-08-09 01:46:40,3.0707,172.7902,81.84,77,27,15.21,scattered clouds
73,Cape Town,ZA,2022-08-09 01:44:00,-33.9258,18.4232,60.39,86,0,3.0,clear sky
74,Shimoda,JP,2022-08-09 01:45:58,34.6667,138.95,92.1,75,90,14.34,overcast clouds
75,Palmer,US,2022-08-09 01:46:41,42.1584,-72.3287,82.0,77,40,11.5,scattered clouds
76,Lavrentiya,RU,2022-08-09 01:46:41,65.5833,-171.0,44.87,77,42,14.18,scattered clouds
77,Lebu,CL,2022-08-09 01:46:41,-37.6167,-73.65,46.18,87,65,10.11,broken clouds
78,Chokurdakh,RU,2022-08-09 01:46:42,70.6333,147.9167,69.6,43,65,4.65,broken clouds
79,Kastamonu,TR,2022-08-09 01:46:42,41.5,33.6667,56.52,84,5,1.32,clear sky
80,Bengkulu,ID,2022-08-09 01:46:42,-3.8004,102.2655,79.99,77,6,3.83,clear sky
81,Kapaa,US,2022-08-09 01:46:43,22.0752,-159.319,84.18,69,40,12.66,scattered clouds
82,Launceston,AU,2022-08-09 01:46:43,-41.45,147.1667,52.16,76,5,5.75,clear sky
83,Grindavik,IS,2022-08-09 01:46:43,63.8424,-22.4338,51.75,100,100,18.41,light intensity drizzle
84,Kaitangata,NZ,2022-08-09 01:46:44,-46.2817,169.8464,45.05,58,31,12.48,scattered clouds
85,Ponta Do Sol,PT,2022-08-09 01:46:44,32.6667,-17.1,71.71,80,0,4.83,clear sky
86,Hilo,US,2022-08-09 01:46:44,19.7297,-155.09,89.28,80,75,6.91,broken clouds
87,Ancud,CL,2022-08-09 01:46:45,-41.8697,-73.8203,46.22,84,100,5.68,overcast clouds
88,Flinders,AU,2022-08-09 01:46:45,-34.5833,150.8552,54.37,84,100,12.37,light rain
89,Ulladulla,AU,2022-08-09 01:46:45,-35.35,150.4667,50.31,87,100,12.48,light rain
90,Tigil,RU,2022-08-09 01:46:46,57.8,158.6667,78.89,49,20,4.45,few clouds
